LOC,GLC,LMS,OPP,OCN,ACT
0,"(10.0,50.0)",DV,0.1,1,0.2
1,"(21.3,-157.8)",HI,0.2,0,0.05
2,"(29.4,-98.5)",RUS,0.3,0,0
3,"(33.3,-82.2)",RUS,0.7,1,0
4,"(37.6,126.8)",DV,0.1,0,0.05
5,"(38.7,-77.2)",DV,1,0,0
6,"(39.7, -104.9)",DEN,0.5,0,0
7,"(39.8, -84.2)",DAY,0.5,0,0
