UIC,NID,NAM,LOC,CMD
W0001-0,1,66MIB,0,EUCOM
W0002-0,18,470MIB,2,SOUTHCOM
W0003-0,2,500MIB,1,PACOM
W0004-0,4,501MIB,4,USFK
W0004-1,7,501MIB,3,USFK
W0005-0,5,513MIB,3,CENTCOM
W0006-1,10,AGB-C,6,GLOBAL
W0006-2,11,AGB-D,7,GLOBAL
W0006-3,21,AGB-G,3,GLOBAL
W0006-0,6,AGB-N,5,GLOBAL
W0007-0,9,INSCOM-G3,5,GLOBAL
W0008-0,20,HQDA-G2,5,GLOBAL
W0006-4,3,AGB,5,GLOBAL
W0009-0,8,NGIC,3,GLOBAL
W0010-0,16,207MIB,0,AFRICOM
